Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
07-12-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,6619,100000.00,
,,Being the Cash Withdraewn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
10-12-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,6664,100000.00,
,,Being the Cash Withdraewn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
17-12-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,6772,100000.00,
,,Being the Cash Withdraewn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
17-12-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,6773,50000.00,
,,Being the Cash Withdraewn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
18-12-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,6787,150000.00,
,,Being the Cash Withdraewn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
,,10181767.00,,,,,,8947989.00
,Dr,Closing Balance,,,,,,1233778.00
,,10181767.00,,,,,,10181767.00
